scientific_idea_or_argument,v2_location,v3_location,unified_main_text,unified_supplement,current_problem,action,priority
"10-city registry / 8 validated baseline cities / 4 uncertainty inference cities","sections/03_study_design_and_data.tex; tables/city_status_table.csv; README.md","sections/03_study_design_and_data.tex; tables/table1_v3_city_coverage.csv; freeze manifest; README.md","sections/03_study_design_and_data.tex; sections/11_data_and_code_availability.tex","supplement/sections/04_city_registry_and_feature_inventory.tex; supplement/tables_tex/table_s4_city_registry.tex","Subset logic is present but spread across main text, supplement, and supporting manifests; the staged-evidence rationale is easy to miss on first read.","preserve + expand","high"
"Weak target as proxy allocation, not truth","sections/04_method.tex; weak-target equations in main method","sections/04_v3_uncertainty_framework.tex; supplement/tables_tex/table_s6_weak_label_weights.tex","sections/04_deterministic_proxy_surface_method.tex; sections/05_uncertainty_aware_extension.tex","supplement/sections/05_weak_target_calibration_and_confidence_rules.tex; supplement/tables_tex/table_s6_weak_label_weights.tex","Present, but the circularity risk and proxy-allocation framing are still compressed.","expand","high"
"Weak target circularity risk and correct framing","sections/04_method.tex; sections/07_limitations.tex","sections/04_v3_uncertainty_framework.tex; sections/08_limitations.tex","sections/04_deterministic_proxy_surface_method.tex; sections/10_limitations.tex","supplement/sections/06_hotspot_classes_and_limitations.tex; supplement/tables_tex/table_s8_limitation_table.tex","Mentioned, but reviewer-facing explanation of why circularity is acceptable only under proxy framing should be stronger.","rewrite","high"
"OSM feature families","sections/03_study_design_and_data.tex; tables/feature inventory; main method","sections/03_city1_v2_baseline_recap.tex; supporting feature tables","sections/03_study_design_and_data.tex; sections/04_deterministic_proxy_surface_method.tex","supplement/sections/04_city_registry_and_feature_inventory.tex; supplement/tables_tex/table_s5_feature_inventory.tex","Feature families are preserved, but the explanatory narrative is compressed compared with source packages.","preserve + expand","medium"
"Official-total calibration","sections/04_method.tex; calibration equation; conclusion","sections/03_city1_v2_baseline_recap.tex; sections/04_v3_uncertainty_framework.tex","sections/04_deterministic_proxy_surface_method.tex; sections/05_uncertainty_aware_extension.tex","supplement/sections/05_weak_target_calibration_and_confidence_rules.tex","Well preserved; could use slightly more explicit bridge language in Stage 1/Stage 2 connection.","preserve","high"
"Random Forest vs ridge interpretation","sections/04_method.tex; results/model comparison","sections/03_city1_v2_baseline_recap.tex; tables/ablation/model comparison","sections/04_deterministic_proxy_surface_method.tex; sections/07_results_deterministic_surface_credibility.tex","supplement/tables_tex/table_s3_combined_framework_evidence.tex; supplement/sections/01_deterministic_validation_matrix.tex","Present, but the interpretive rationale for nonlinearity is concise and could be more reviewer-facing.","expand","medium"
"500 m grid justification","sections/03_study_design_and_data.tex; sections/04_method.tex; grid benchmark","sections/03_city1_v2_baseline_recap.tex; sections/05_validation_design.tex","sections/03_study_design_and_data.tex; sections/04_deterministic_proxy_surface_method.tex; sections/07_results_deterministic_surface_credibility.tex","supplement/sections/01_deterministic_validation_matrix.tex","Present and numerically supported; main text is slightly terse on detail-stability tradeoff.","preserve + expand","high"
"District benchmark mixed but useful","sections/05_validation_framework.tex; sections/06_results.tex; sections/07_limitations.tex","sections/05_validation_design.tex; sections/06_results.tex; tables/table6_district_external_limitations_summary.csv","sections/06_unified_validation_framework.tex; sections/07_results_deterministic_surface_credibility.tex; sections/08_results_reliability_uncertainty_hotspots.tex; sections/10_limitations.tex","supplement/sections/01_deterministic_validation_matrix.tex; supplement/sections/02_uncertainty_validation_matrix.tex","Correctly framed as partial support, but still easy for readers to over-read as stronger than intended.","rewrite","high"
"WorldPop vs GHS-POP as complementary structural comparators","sections/06_results.tex; sections/05_validation_framework.tex","sections/06_results.tex; tables/external benchmark tables","sections/06_unified_validation_framework.tex; sections/07_results_deterministic_surface_credibility.tex","supplement/sections/01_deterministic_validation_matrix.tex; supplement/sections/03_combined_evidence_matrix.tex","Present and bounded, but the complementarity story can be made more explicit.","expand","medium"
"Ablation and built-form dominance","sections/06_results.tex; tables/ablation_summary_table.csv","sections/06_results.tex; tables/table6_ablation_summary.csv","sections/07_results_deterministic_surface_credibility.tex","supplement/sections/01_deterministic_validation_matrix.tex","Present and one of the strongest V2 arguments; could be brought slightly forward in main narrative.","preserve","high"
"Qualitative plausibility as plausibility, not truth","sections/06_results.tex; sections/07_limitations.tex; qualitative case tables","sections/06_results.tex; supplementary qualitative cases","sections/07_results_deterministic_surface_credibility.tex; sections/08_results_reliability_uncertainty_hotspots.tex","supplement/sections/07_qualitative_cases_and_example_surfaces.tex","Present, but the truth-vs-plausibility distinction should stay prominent because reviewers may over-read maps.","preserve","high"
"V3 as extension, not scientific reset","n/a in v2; stage concept absent","main manuscript framing; README; discussion","sections/01_introduction.tex; sections/05_uncertainty_aware_extension.tex; sections/09_integrated_discussion.tex","supplement/sections/00_overview.tex; supplement/tables_tex/table_s3_combined_framework_evidence.tex","Good in unified paper, but needs to remain strongly explicit so the paper doesn't feel like two pasted manuscripts.","preserve + expand","high"
"Calibrated ensemble logic","n/a in v2","sections/04_v3_uncertainty_framework.tex; reports/paper_v3_uncertainty/*","sections/05_uncertainty_aware_extension.tex; sections/08_results_reliability_uncertainty_hotspots.tex","supplement/sections/02_uncertainty_validation_matrix.tex; supplement/tables_tex/table_s2_uncertainty_validation_evidence.tex","Present and scientifically central for V3; main narrative is slightly compressed around calibration at member level.","expand","high"
"P10/P50/P90 interval interpretation","n/a in v2","sections/04_v3_uncertainty_framework.tex; tables/table2_uncertainty_interval_coverage.csv","sections/05_uncertainty_aware_extension.tex; sections/08_results_reliability_uncertainty_hotspots.tex","supplement/sections/02_uncertainty_validation_matrix.tex; supplement/tables_tex/table_s2_uncertainty_validation_evidence.tex","Present, but should keep emphasizing proxy interval meaning, not truth uncertainty.","preserve + expand","high"
"Confidence score formula and interpretation","n/a in v2","sections/04_v3_uncertainty_framework.tex; sections/10_limitations.tex","sections/05_uncertainty_aware_extension.tex; sections/08_results_reliability_uncertainty_hotspots.tex; sections/10_limitations.tex","supplement/sections/05_weak_target_calibration_and_confidence_rules.tex; supplement/tables_tex/table_s6_weak_label_weights.tex","Present, but needs continued careful wording because reviewers may misread it as probability.","preserve","high"
"Confidence bands not probability","n/a in v2","sections/04_v3_uncertainty_framework.tex; checklist/limitations","sections/05_uncertainty_aware_extension.tex; sections/08_results_reliability_uncertainty_hotspots.tex; sections/10_limitations.tex","supplement/sections/02_uncertainty_validation_matrix.tex; supplement/tables_tex/table_s2_uncertainty_validation_evidence.tex","Correctly stated, but must remain explicit in every uncertainty-facing explanation.","preserve","high"
"Hotspot classes and screening logic","n/a in v2","sections/04_v3_uncertainty_framework.tex; tables/table4_hotspot_prioritization_summary.csv","sections/05_uncertainty_aware_extension.tex; sections/08_results_reliability_uncertainty_hotspots.tex; sections/09_integrated_discussion.tex","supplement/sections/06_hotspot_classes_and_limitations.tex; supplement/tables_tex/table_s7_hotspot_class_definitions.tex","The logic is present, but the table/definitions need to stay very readable and defensible.","rewrite","high"
"Hotspot stability as strongest V3 evidence","n/a in v2","tables/table7_hotspot_stability_summary.csv; phase 5/6 reports","sections/08_results_reliability_uncertainty_hotspots.tex; sections/09_integrated_discussion.tex","supplement/sections/02_uncertainty_validation_matrix.tex; supplement/tables_tex/table_s2_uncertainty_validation_evidence.tex","Strongest V3 result and properly retained; should be foregrounded as screening evidence, not hotspot truth.","preserve","high"
"Interval coverage mixed as secondary evidence","n/a in v2","tables/table2_uncertainty_interval_coverage.csv; phase 6 report","sections/08_results_reliability_uncertainty_hotspots.tex; sections/10_limitations.tex","supplement/sections/02_uncertainty_validation_matrix.tex; supplement/tables_tex/table_s2_uncertainty_validation_evidence.tex","Correctly included as mixed evidence, but should remain secondary to hotspot stability.","preserve","high"
"District interval coverage partial","n/a in v2","tables/table6_district_external_limitations_summary.csv; phase 6 report","sections/08_results_reliability_uncertainty_hotspots.tex; sections/10_limitations.tex","supplement/sections/02_uncertainty_validation_matrix.tex; supplement/tables_tex/table_s8_limitation_table.tex","Important limitation evidence; should stay visible so V3 doesn't overclaim.","preserve","high"
"External disagreement alignment mixed or negative","n/a in v2","tables/table3_error_uncertainty_alignment.csv; phase 6 report","sections/08_results_reliability_uncertainty_hotspots.tex; sections/10_limitations.tex","supplement/sections/02_uncertainty_validation_matrix.tex; supplement/tables_tex/table_s2_uncertainty_validation_evidence.tex","Correctly preserved as limitation/context; should not be rewritten into stronger support.","preserve","high"
"Bounded LOCO-like uncertainty validation with 5 members / 60 trees","n/a in v2","phase 6 report; validation settings in v3 manuscript","sections/05_uncertainty_aware_extension.tex; sections/10_limitations.tex","supplement/sections/02_uncertainty_validation_matrix.tex; supplement/tables_tex/table_s2_uncertainty_validation_evidence.tex","Present and important for evidence scope, but needs a crisp note whenever V3 validation is discussed.","preserve","high"
"Stage 1 without Stage 2 risks deterministic over-reading","discussion framing absent in v2","discussion framing in v3/unified","sections/09_integrated_discussion.tex","supplement/sections/00_overview.tex; supplement/tables_tex/table_s3_combined_framework_evidence.tex","Present in unified paper and essential to the merged argument; still should remain very explicit.","preserve","high"
"Stage 2 without Stage 1 has no stable calibrated baseline","discussion framing absent in v2","discussion framing in v3/unified","sections/09_integrated_discussion.tex","supplement/sections/00_overview.tex; supplement/tables_tex/table_s3_combined_framework_evidence.tex","Present and conceptually strong; keep it prominent as the framework logic.","preserve","high"
"Future LLM as future work only","n/a in v2","discussion bridge / README / future-work notes in v3","sections/09_integrated_discussion.tex; README.md","supplement/sections/03_combined_evidence_matrix.tex; merge traceability","Correctly scoped; must remain clearly future work, not a completed result.","preserve","high"
